Indice,Anno,0:00 - 3:00,3:00 - 6:00,6:00 - 9:00,9:00 - 12:00,12:00 - 15:00,15:00 - 18:00,19:00 - 21:00,22:00 - 0:00
0,2018,894,363,1175,5366,4673,4859,3563,2340
1,2019,1014,363,1059,4641,4219,4352,3344,2298
2,2020,1547,529,1686,6434,6506,6365,5197,3424
