Indice,Anno,Lunedì,Martedi,Mercoledì,Giovedì,Venerdì,Sabato,Domenica
0,2018,4050,3605,3386,3411,3272,2781,2728
1,2019,3654,3450,3193,3034,3128,2605,2226
2,2020,5111,4852,5016,4588,4378,4024,3719
