Indice,Anno,Trimestre,Italiana,Non Italiana
0,2018,Primo,2061,247
1,2018,Secondo,2007,237
2,2018,Terzo,1819,233
3,2018,Quarto,1880,238
4,2019,Primo,1821,247
5,2019,Secondo,1752,268
6,2019,Terzo,1763,222
7,2019,Quarto,1701,207
8,2020,Primo,1692,185
9,2020,Secondo,4452,436
10,2020,Terzo,1957,212
11,2020,Quarto,2354,241
